grupedad	codmuer	critred1011
NEONATAL	A045	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A046	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A047	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A048	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A049	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A050	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A051	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A053	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A054	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A058	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A059	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A060	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A061	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A064	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A065	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A066	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A067	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A068	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A069	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A070	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
